date,securities_code,securities_name,dividend_year,P/E_ratio,Fiscal_year_quarter
2021-11-05,1101,台泥,7.00,11.83,110/2,
2021-11-05,1102,亞泥,7.72,8.87,110/2,
2021-11-05,1103,嘉泥,6.91,8.44,110/2,
2021-11-05,1104,環泥,5.26,10.50,110/2,
2021-11-05,1108,幸福,5.74,16.49,110/2,
2021-11-05,1109,信大,7.21,6.28,110/2,
2021-11-05,1110,東泥,0.54,123.00,110/2,
2021-11-05,1201,味全,2.36,18.60,110/2,
2021-11-05,1203,味王,3.35,16.82,110/2,
2021-11-05,1210,大成,5.61,14.34,110/2,
2021-11-05,1213,大飲,0.00,-,110/2,
2021-11-05,1215,卜蜂,5.60,12.39,110/2,
2021-11-05,1216,統一,4.02,17.75,110/2,
2021-11-05,1217,愛之味,0.00,14.93,110/2,
2021-11-05,1218,泰山,5.15,16.59,110/2,
2021-11-05,1219,福壽,4.66,12.40,110/2,
2021-11-05,1220,台榮,6.39,11.86,110/2,
2021-11-05,1225,福懋油,2.83,20.16,110/2,
2021-11-05,1227,佳格,4.72,16.01,110/2,
2021-11-05,1229,聯華,4.71,15.87,110/2,
2021-11-05,1231,聯華食,3.86,17.11,110/3,
2021-11-05,1232,大統益,3.76,19.36,110/3,
2021-11-05,1233,天仁,2.41,66.50,110/2,
2021-11-05,1234,黑松,5.10,20.06,110/3,
2021-11-05,1235,興泰,3.39,105.48,110/2,
2021-11-05,1236,宏亞,1.42,56.20,110/2,
2021-11-05,1256,鮮活果汁-KY,3.23,12.69,110/2,
2021-11-05,1301,台塑,2.24,12.10,110/2,
2021-11-05,1303,南亞,2.83,10.65,110/2,
2021-11-05,1304,台聚,2.92,8.24,110/2,
2021-11-05,1305,華夏,6.23,7.42,110/3,
2021-11-05,1307,三芳,2.31,18.95,110/2,
2021-11-05,1308,亞聚,3.55,10.38,110/2,
2021-11-05,1309,台達化,8.52,4.89,110/2,
2021-11-05,1310,台苯,2.74,10.20,110/2,
2021-11-05,1312,國喬,0.36,3.64,110/2,
2021-11-05,1313,聯成,4.50,6.77,110/3,
2021-11-05,1314,中石化,0.00,17.12,110/2,
2021-11-05,1315,達新,12.97,-,110/2,
2021-11-05,1316,上曜,0.00,31.86,110/2,
2021-11-05,1319,東陽,2.37,23.57,110/2,
2021-11-05,1321,大洋,3.03,15.23,110/2,
2021-11-05,1323,永裕,4.51,11.83,110/2,
2021-11-05,1324,地球,2.73,157.14,110/2,
2021-11-05,1325,恆大,29.41,2.27,110/2,
2021-11-05,1326,台化,3.11,10.56,110/3,
2021-11-05,1337,再生-KY,0.00,-,110/2,
2021-11-05,1338,廣華-KY,7.15,9.75,110/2,
2021-11-05,1339,昭輝,5.85,20.73,110/2,
2021-11-05,1340,勝悅-KY,0.00,-,110/2,
2021-11-05,1341,富林-KY,8.75,8.38,110/2,
2021-11-05,1342,八貫,4.83,16.29,110/2,
2021-11-05,1402,遠東新,4.59,14.85,110/2,
2021-11-05,1409,新纖,5.67,9.80,110/2,
2021-11-05,1410,南染,2.52,31.32,110/2,
2021-11-05,1413,宏洲,0.00,-,110/2,
2021-11-05,1414,東和,1.49,33.50,110/2,
2021-11-05,1416,廣豐,4.44,-,110/2,
2021-11-05,1417,嘉裕,2.14,-,110/2,
2021-11-05,1418,東華,0.00,-,110/2,
2021-11-05,1419,新紡,2.41,28.62,110/2,
2021-11-05,1423,利華,10.00,4.09,110/2,
2021-11-05,1432,大魯閣,0.00,-,110/2,
2021-11-05,1434,福懋,3.37,23.95,110/3,
2021-11-05,1435,中福,0.00,-,110/2,
2021-11-05,1436,華友聯,3.94,8.88,110/2,
2021-11-05,1437,勤益控,2.78,11.20,110/3,
2021-11-05,1438,三地開發,0.00,-,110/2,
2021-11-05,1439,中和,0.00,-,110/2,
2021-11-05,1440,南紡,1.49,12.39,110/2,
2021-11-05,1441,大東,0.00,-,110/2,
2021-11-05,1442,名軒,2.00,32.40,110/2,
2021-11-05,1443,立益,0.00,52.42,110/2,
2021-11-05,1444,力麗,0.00,388.33,110/2,
2021-11-05,1445,大宇,1.37,-,110/2,
2021-11-05,1446,宏和,0.96,107.59,110/2,
2021-11-05,1447,力鵬,0.00,44.58,110/2,
2021-11-05,1449,佳和,0.00,17.24,110/2,
2021-11-05,1451,年興,2.82,106.25,110/2,
2021-11-05,1452,宏益,2.97,8.79,110/3,
2021-11-05,1453,大將,0.00,28.19,110/2,
2021-11-05,1454,台富,1.93,-,110/2,
2021-11-05,1455,集盛,1.70,8.33,110/3,
2021-11-05,1456,怡華,0.00,5.22,110/2,
2021-11-05,1457,宜進,8.50,12.34,110/2,
2021-11-05,1459,聯發,0.00,10.74,110/2,
2021-11-05,1460,宏遠,0.00,-,110/2,
2021-11-05,1463,強盛,2.17,41.97,110/2,
2021-11-05,1464,得力,1.90,105.33,110/2,
2021-11-05,1465,偉全,2.42,-,110/2,
2021-11-05,1466,聚隆,0.00,9.24,110/2,
2021-11-05,1467,南緯,5.11,6.88,110/2,
2021-11-05,1468,昶和,0.00,59.77,110/2,
2021-11-05,1470,大統新創,2.26,25.14,110/2,
2021-11-05,1471,首利,0.00,2.97,110/2,
2021-11-05,1472,三洋實業,0.00,-,110/2,
2021-11-05,1473,台南,1.11,-,110/2,
2021-11-05,1474,弘裕,2.61,11.25,110/2,
2021-11-05,1475,業旺,0.00,163.33,110/2,
2021-11-05,1476,儒鴻,1.82,30.51,110/3,
2021-11-05,1477,聚陽,3.42,22.96,110/3,
2021-11-05,1503,士電,3.07,15.54,110/2,
2021-11-05,1504,東元,3.79,15.48,110/2,
2021-11-05,1506,正道,0.00,-,110/2,
2021-11-05,1507,永大,2.95,20.87,110/2,
2021-11-05,1512,瑞利,0.00,-,110/2,
2021-11-05,1513,中興電,5.33,9.23,110/2,
2021-11-05,1514,亞力,5.06,15.59,110/2,
2021-11-05,1515,力山,5.47,10.36,110/3,
2021-11-05,1516,川飛,3.26,22.55,110/3,
2021-11-05,1517,利奇,1.31,13.02,110/3,
2021-11-05,1519,華城,3.50,24.09,110/2,
2021-11-05,1521,大億,3.00,24.52,110/2,
2021-11-05,1522,堤維西,2.98,23.16,110/2,
2021-11-05,1524,耿鼎,2.10,32.26,110/3,
2021-11-05,1525,江申,3.58,12.11,110/2,
2021-11-05,1526,日馳,3.87,12.74,110/3,
2021-11-05,1527,鑽全,5.44,12.59,110/2,
2021-11-05,1528,恩德,0.90,-,110/2,
2021-11-05,1529,樂士,3.10,15.38,110/2,
2021-11-05,1530,亞崴,7.32,25.11,110/2,
2021-11-05,1531,高林股,1.32,32.13,110/2,
2021-11-05,1532,勤美,3.18,15.73,110/2,
2021-11-05,1533,車王電,0.00,46.07,110/2,
2021-11-05,1535,中宇,3.40,13.15,110/3,
2021-11-05,1536,和大,1.13,87.93,110/2,
2021-11-05,1537,廣隆,7.19,15.98,110/3,
2021-11-05,1538,正峰,0.00,-,110/2,
2021-11-05,1539,巨庭,0.00,-,110/2,
2021-11-05,1540,喬福,3.42,292.00,110/2,
2021-11-05,1541,錩泰,6.88,10.33,110/2,
2021-11-05,1558,伸興,6.31,8.52,110/2,
2021-11-05,1560,中砂,3.25,21.55,110/3,
2021-11-05,1568,倉佑,1.33,118.68,110/2,
2021-11-05,1582,信錦,6.74,14.84,110/2,
2021-11-05,1583,程泰,4.69,18.93,110/2,
2021-11-05,1587,吉茂,7.62,13.13,110/2,
2021-11-05,1589,永冠-KY,2.37,10.00,110/2,
2021-11-05,1590,亞德客-KY,1.06,25.62,110/2,
2021-11-05,1597,直得,1.75,22.72,110/3,
2021-11-05,1598,岱宇,11.49,5.73,110/2,
2021-11-05,1603,華電,1.81,11.35,110/2,
2021-11-05,1604,聲寶,8.49,5.76,110/2,
2021-11-05,1605,華新,3.30,7.88,110/3,
2021-11-05,1608,華榮,3.20,5.69,110/2,
2021-11-05,1609,大亞,2.56,13.54,110/2,
2021-11-05,1611,中電,2.17,115.00,110/2,
2021-11-05,1612,宏泰,4.49,10.94,110/2,
2021-11-05,1614,三洋電,2.77,24.36,110/2,
2021-11-05,1615,大山,7.15,8.62,110/2,
2021-11-05,1616,億泰,0.00,32.96,110/2,
2021-11-05,1617,榮星,3.48,11.73,110/2,
2021-11-05,1618,合機,1.97,11.64,110/2,
2021-11-05,1626,艾美特-KY,5.10,-,110/2,
2021-11-05,1701,中化,4.47,14.80,110/2,
2021-11-05,1702,南僑,4.08,10.27,110/2,
2021-11-05,1707,葡萄王,3.99,18.55,110/3,
2021-11-05,1708,東鹼,5.85,22.61,110/2,
2021-11-05,1709,和益,5.76,11.52,110/2,
2021-11-05,1710,東聯,0.00,59.15,110/3,
2021-11-05,1711,永光,1.02,40.21,110/2,
2021-11-05,1712,興農,5.27,12.20,110/3,
2021-11-05,1713,國化,2.76,21.38,110/3,
2021-11-05,1714,和桐,6.67,65.63,110/2,
2021-11-05,1717,長興,3.92,12.92,110/3,
2021-11-05,1718,中纖,4.88,8.01,110/2,
2021-11-05,1720,生達,4.57,10.14,110/3,
2021-11-05,1721,三晃,2.56,-,110/2,
2021-11-05,1722,台肥,3.36,28.19,110/2,
2021-11-05,1723,中碳,2.39,25.55,110/3,
2021-11-05,1725,元禎,3.28,16.84,110/2,
2021-11-05,1726,永記,4.80,12.55,110/2,
2021-11-05,1727,中華化,0.00,53.20,110/2,
2021-11-05,1730,花仙子,6.03,16.41,110/3,
2021-11-05,1731,美吾華,5.12,15.64,110/2,
2021-11-05,1732,毛寶,1.99,34.38,110/2,
2021-11-05,1733,五鼎,4.72,20.44,110/2,
2021-11-05,1734,杏輝,0.66,-,110/2,
2021-11-05,1735,日勝化,2.79,18.08,110/2,
2021-11-05,1736,喬山,1.88,17.84,110/2,
2021-11-05,1737,臺鹽,4.08,15.52,110/2,
2021-11-05,1760,寶齡富錦,1.02,62.64,110/2,
2021-11-05,1762,中化生,2.29,14.19,110/2,
2021-11-05,1773,勝一,3.22,18.72,110/3,
2021-11-05,1776,展宇,4.17,9.27,110/2,
2021-11-05,1783,和康生,1.43,46.97,110/2,
2021-11-05,1786,科妍,3.70,26.75,110/3,
2021-11-05,1789,神隆,1.98,74.12,110/2,
2021-11-05,1795,美時,0.37,17.58,110/2,
2021-11-05,1802,台玻,1.80,9.57,110/2,
2021-11-05,1805,寶徠,0.00,-,110/2,
2021-11-05,1806,冠軍,0.00,-,110/2,
2021-11-05,1808,潤隆,0.67,22.46,110/2,
2021-11-05,1809,中釉,1.40,357.50,110/2,
2021-11-05,1810,和成,1.39,51.25,110/2,
2021-11-05,1817,凱撒衛,5.63,11.58,110/3,
2021-11-05,1903,士紙,0.00,296.67,110/2,
2021-11-05,1904,正隆,5.21,8.66,110/2,
2021-11-05,1905,華紙,0.00,65.71,110/2,
2021-11-05,1906,寶隆,1.95,16.57,110/2,
2021-11-05,1907,永豐餘,4.62,8.23,110/2,
2021-11-05,1909,榮成,2.38,14.32,110/2,
2021-11-05,2002,中鋼,0.91,10.15,110/3,
2021-11-05,2006,東和鋼鐵,3.72,8.19,110/2,
2021-11-05,2007,燁興,0.00,-,110/2,
2021-11-05,2008,高興昌,0.00,62.67,110/2,
2021-11-05,2009,第一銅,1.80,37.63,110/2,
2021-11-05,2010,春源,2.67,12.01,110/3,
2021-11-05,2012,春雨,2.04,16.64,110/2,
2021-11-05,2013,中鋼構,5.21,21.65,110/3,
2021-11-05,2014,中鴻,0.87,7.92,110/3,
2021-11-05,2015,豐興,4.52,12.79,110/3,
2021-11-05,2017,官田鋼,1.49,13.65,110/2,
2021-11-05,2020,美亞,5.48,8.99,110/2,
2021-11-05,2022,聚亨,0.00,21.36,110/2,
2021-11-05,2023,燁輝,0.00,10.42,110/3,
2021-11-05,2024,志聯,1.39,12.82,110/3,
2021-11-05,2025,千興,0.00,-,110/2,
2021-11-05,2027,大成鋼,1.90,16.21,110/2,
2021-11-05,2028,威致,0.00,9.74,110/2,
2021-11-05,2029,盛餘,1.52,11.86,110/2,
2021-11-05,2030,彰源,1.73,9.29,110/3,
2021-11-05,2031,新光鋼,3.28,8.14,110/2,
2021-11-05,2032,新鋼,2.27,16.56,110/3,
2021-11-05,2033,佳大,1.67,69.23,110/3,
2021-11-05,2034,允強,4.65,18.07,110/3,
2021-11-05,2038,海光,1.52,17.57,110/2,
2021-11-05,2049,上銀,0.72,30.90,110/3,
2021-11-05,2059,川湖,1.44,23.90,110/3,
2021-11-05,2062,橋椿,0.28,13.99,110/3,
2021-11-05,2069,運錩,1.76,8.10,110/3,
2021-11-05,2101,南港,2.38,39.12,110/2,
2021-11-05,2102,泰豐,0.07,-,110/2,
2021-11-05,2103,台橡,1.13,7.29,110/3,
2021-11-05,2104,國際中橡,0.41,13.79,110/2,
2021-11-05,2105,正新,3.51,12.15,110/2,
2021-11-05,2106,建大,3.27,12.94,110/2,
2021-11-05,2107,厚生,6.65,9.13,110/2,
2021-11-05,2108,南帝,5.08,4.86,110/2,
2021-11-05,2109,華豐,0.00,8.87,110/2,
2021-11-05,2114,鑫永銓,4.84,9.27,110/3,
2021-11-05,2115,六暉-KY,6.13,9.74,110/3,
2021-11-05,2201,裕隆,2.39,9.67,110/2,
2021-11-05,2204,中華,9.97,9.06,110/2,
2021-11-05,2206,三陽工業,4.90,11.01,110/2,
2021-11-05,2207,和泰車,2.79,20.42,110/2,
2021-11-05,2208,台船,0.00,-,110/2,
2021-11-05,2211,長榮鋼,4.20,18.43,110/2,
2021-11-05,2227,裕日車,7.28,11.96,110/2,
2021-11-05,2228,劍麟,1.51,18.81,110/2,
2021-11-05,2231,為升,0.72,44.52,110/2,
2021-11-05,2233,宇隆,3.60,12.47,110/2,
2021-11-05,2236,百達-KY,1.35,22.54,110/2,
2021-11-05,2239,英利-KY,2.85,12.00,110/2,
2021-11-05,2241,艾姆勒,1.07,-,110/3,
2021-11-05,2243,宏旭-KY,0.00,-,110/2,
2021-11-05,2247,汎德永業,5.20,13.60,110/2,
2021-11-05,2250,IKKA-KY,2.65,19.12,110/2,
2021-11-05,2301,光寶科,5.53,10.49,110/3,
2021-11-05,2302,麗正,1.69,19.72,110/2,
2021-11-05,2303,聯電,2.65,14.70,110/3,
2021-11-05,2305,全友,0.00,164.80,110/2,
2021-11-05,2308,台達電,2.10,24.33,110/3,
2021-11-05,2312,金寶,2.05,-,110/2,
2021-11-05,2313,華通,3.59,11.30,110/3,
2021-11-05,2314,台揚,0.00,-,110/2,
2021-11-05,2316,楠梓電,5.17,12.08,110/2,
2021-11-05,2317,鴻海,3.67,11.21,110/2,
2021-11-05,2321,東訊,0.00,-,110/2,
2021-11-05,2323,中環,7.74,-,110/2,
2021-11-05,2324,仁寶,6.57,8.95,110/2,
2021-11-05,2327,國巨,2.37,11.21,110/2,
2021-11-05,2328,廣宇,1.61,23.49,110/2,
2021-11-05,2329,華泰,0.00,18.69,110/3,
2021-11-05,2330,台積電,1.67,28.08,110/2,
2021-11-05,2331,精英,4.32,-,110/2,
2021-11-05,2332,友訊,1.45,15.41,110/3,
2021-11-05,2337,旺宏,3.02,7.81,110/3,
2021-11-05,2338,光罩,1.63,17.54,110/2,
2021-11-05,2340,光磊,3.14,22.69,110/3,
2021-11-05,2342,茂矽,1.14,12.81,110/2,
2021-11-05,2344,華邦電,0.74,10.96,110/3,
2021-11-05,2345,智邦,2.30,31.91,110/2,
2021-11-05,2347,聯強,5.83,9.04,110/2,
2021-11-05,2348,海悅,7.92,5.67,110/2,
2021-11-05,2349,錸德,0.00,-,110/2,
2021-11-05,2351,順德,1.11,46.16,110/2,
2021-11-05,2352,佳世達,4.67,6.50,110/2,
2021-11-05,2353,宏碁,5.73,7.38,110/3,
2021-11-05,2354,鴻準,2.57,18.82,110/2,
2021-11-05,2355,敬鵬,1.68,72.80,110/2,
2021-11-05,2356,英業達,6.98,18.53,110/2,
2021-11-05,2357,華碩,7.13,6.52,110/2,
2021-11-05,2358,廷鑫,0.30,62.57,110/2,
2021-11-05,2359,所羅門,2.85,31.34,110/2,
2021-11-05,2360,致茂,2.38,19.85,110/2,
2021-11-05,2362,藍天,1.74,16.15,110/2,
2021-11-05,2363,矽統,6.34,-,110/2,
2021-11-05,2364,倫飛,0.00,81.20,110/2,
2021-11-05,2365,昆盈,2.83,19.63,110/2,
2021-11-05,2367,燿華,0.00,-,110/2,
2021-11-05,2368,金像電,2.15,16.74,110/2,
2021-11-05,2369,菱生,0.00,39.77,110/2,
2021-11-05,2371,大同,0.00,-,110/2,
2021-11-05,2373,震旦行,6.74,13.15,110/2,
2021-11-05,2374,佳能,2.57,10.38,110/2,
2021-11-05,2375,凱美,2.28,13.54,110/2,
2021-11-05,2376,技嘉,4.03,9.19,110/2,
2021-11-05,2377,微星,4.03,9.71,110/2,
2021-11-05,2379,瑞昱,2.80,20.42,110/2,
2021-11-05,2380,虹光,0.00,-,110/2,
2021-11-05,2382,廣達,6.50,9.79,110/2,
2021-11-05,2383,台光電,3.04,15.42,110/3,
2021-11-05,2385,群光,6.91,9.82,110/3,
2021-11-05,2387,精元,4.66,5.69,110/2,
2021-11-05,2388,威盛,1.15,6.04,110/3,
2021-11-05,2390,云辰,0.00,3.92,110/2,
2021-11-05,2392,正崴,6.42,10.20,110/2,
2021-11-05,2393,億光,4.46,12.11,110/2,
2021-11-05,2395,研華,1.90,37.66,110/3,
2021-11-05,2397,友通,5.18,21.29,110/2,
2021-11-05,2399,映泰,1.88,11.21,110/2,
2021-11-05,2401,凌陽,1.36,25.39,110/2,
2021-11-05,2402,毅嘉,3.07,22.33,110/2,
2021-11-05,2404,漢唐,9.21,10.12,110/2,
2021-11-05,2405,浩鑫,0.00,46.15,110/2,
2021-11-05,2406,國碩,0.00,25.70,110/2,
2021-11-05,2408,南亞科,1.98,11.73,110/3,
2021-11-05,2409,友達,1.45,4.61,110/2,
2021-11-05,2412,中華電,3.88,25.11,110/2,
2021-11-05,2413,環科,0.00,75.77,110/2,
2021-11-05,2414,精技,4.43,12.39,110/3,
2021-11-05,2415,錩新,1.05,16.74,110/2,
2021-11-05,2417,圓剛,7.31,3.94,110/2,
2021-11-05,2419,仲琦,4.39,46.53,110/3,
2021-11-05,2420,新巨,5.85,13.21,110/2,
2021-11-05,2421,建準,5.97,24.66,110/3,
2021-11-05,2423,固緯,3.73,20.77,110/2,
2021-11-05,2424,隴華,0.00,-,110/2,
2021-11-05,2425,承啟,1.82,22.00,110/2,
2021-11-05,2426,鼎元,2.95,74.71,110/2,
2021-11-05,2427,三商電,2.80,17.83,110/2,
2021-11-05,2428,興勤,3.27,12.75,110/2,
2021-11-05,2429,銘旺科,0.00,-,110/2,
2021-11-05,2430,燦坤,3.70,12.54,110/3,
2021-11-05,2431,聯昌,2.14,6.69,110/2,
2021-11-05,2433,互盛電,7.07,13.15,110/2,
2021-11-05,2434,統懋,0.00,56.52,110/2,
2021-11-05,2436,偉詮電,1.98,19.54,110/3,
2021-11-05,2438,翔耀,0.00,317.00,110/2,
2021-11-05,2439,美律,5.31,17.25,110/3,
2021-11-05,2440,太空梭,0.00,10.77,110/2,
2021-11-05,2441,超豐,3.98,10.61,110/3,
2021-11-05,2442,新美齊,2.54,4.50,110/2,
2021-11-05,2443,億麗,0.00,-,110/2,
2021-11-05,2444,兆勁,0.00,-,110/2,
2021-11-05,2449,京元電子,4.80,13.90,110/2,
2021-11-05,2450,神腦,4.61,14.66,110/3,
2021-11-05,2451,創見,4.42,12.83,110/3,
2021-11-05,2453,凌群,5.99,13.18,110/2,
2021-11-05,2454,聯發科,3.94,18.35,110/2,
2021-11-05,2455,全新,1.93,30.59,110/3,
2021-11-05,2456,奇力新,2.39,13.99,110/2,
2021-11-05,2457,飛宏,0.00,-,110/3,
2021-11-05,2458,義隆,5.56,10.06,110/2,
2021-11-05,2459,敦吉,5.81,11.34,110/2,
2021-11-05,2460,建通,0.00,21.10,110/2,
2021-11-05,2461,光群雷,4.73,9.23,110/2,
2021-11-05,2462,良得電,2.63,24.32,110/2,
2021-11-05,2464,盟立,4.66,16.96,110/2,
2021-11-05,2465,麗臺,0.00,12.84,110/2,
2021-11-05,2466,冠西電,0.00,335.00,110/2,
2021-11-05,2467,志聖,5.79,11.50,110/2,
2021-11-05,2468,華經,2.93,23.95,110/2,
2021-11-05,2471,資通,6.55,12.45,110/2,
2021-11-05,2472,立隆電,4.64,12.69,110/2,
2021-11-05,2474,可成,7.41,6.99,110/2,
2021-11-05,2476,鉅祥,1.99,17.71,110/3,
2021-11-05,2477,美隆電,5.08,3.41,110/2,
2021-11-05,2478,大毅,4.70,12.81,110/2,
2021-11-05,2480,敦陽科,6.03,13.71,110/3,
2021-11-05,2481,強茂,1.36,27.03,110/2,
2021-11-05,2482,連宇,0.00,-,110/2,
2021-11-05,2483,百容,2.85,21.16,110/3,
2021-11-05,2484,希華,2.99,17.22,110/3,
2021-11-05,2485,兆赫,0.00,-,110/2,
2021-11-05,2486,一詮,0.00,87.58,110/2,
2021-11-05,2488,漢平,5.32,15.24,110/3,
2021-11-05,2491,吉祥全,1.67,4.67,110/2,
2021-11-05,2492,華新科,3.90,8.63,110/3,
2021-11-05,2493,揚博,6.61,14.21,110/3,
2021-11-05,2495,普安,1.95,76.75,110/2,
2021-11-05,2496,卓越,9.23,14.48,110/2,
2021-11-05,2497,怡利電,0.00,249.69,110/3,
2021-11-05,2498,宏達電,0.00,-,110/2,
2021-11-05,2501,國建,5.15,20.42,110/2,
2021-11-05,2504,國產,6.07,10.60,110/2,
2021-11-05,2505,國揚,10.22,7.34,110/2,
2021-11-05,2506,太設,4.06,30.81,110/2,
2021-11-05,2509,全坤建,8.13,15.00,110/2,
2021-11-05,2511,太子,3.07,13.05,110/3,
2021-11-05,2514,龍邦,0.00,3.16,110/2,
2021-11-05,2515,中工,2.45,28.45,110/2,
2021-11-05,2516,新建,0.00,-,110/2,
2021-11-05,2520,冠德,8.81,4.54,110/3,
2021-11-05,2524,京城,0.00,7.54,110/2,
2021-11-05,2527,宏璟,4.49,11.26,110/2,
2021-11-05,2528,皇普,0.00,34.06,110/3,
2021-11-05,2530,華建,0.00,-,110/2,
2021-11-05,2534,宏盛,4.18,15.72,110/2,
2021-11-05,2535,達欣工,8.08,8.17,110/3,
2021-11-05,2536,宏普,5.49,28.38,110/2,
2021-11-05,2537,聯上發,4.03,-,110/2,
2021-11-05,2538,基泰,3.91,-,110/2,
2021-11-05,2539,櫻花建,5.06,35.28,110/2,
2021-11-05,2540,愛山林,1.31,11.84,110/2,
2021-11-05,2542,興富發,4.49,8.79,110/2,
2021-11-05,2543,皇昌,0.00,40.00,110/2,
2021-11-05,2545,皇翔,11.76,4.92,110/2,
2021-11-05,2546,根基,7.31,7.01,110/3,
2021-11-05,2547,日勝生,5.96,20.00,110/2,
2021-11-05,2548,華固,7.78,16.51,110/2,
2021-11-05,2597,潤弘,8.26,10.25,110/2,
2021-11-05,2601,益航,0.00,107.92,110/2,
2021-11-05,2603,長榮,2.18,6.05,110/2,
2021-11-05,2605,新興,1.76,86.06,110/2,
2021-11-05,2606,裕民,2.24,12.67,110/3,
2021-11-05,2607,榮運,1.09,35.32,110/3,
2021-11-05,2608,嘉里大榮,3.78,13.92,110/2,
2021-11-05,2609,陽明,0.00,4.98,110/2,
2021-11-05,2610,華航,0.00,30.08,110/3,
2021-11-05,2611,志信,0.00,9.00,110/2,
2021-11-05,2612,中航,2.75,9.40,110/2,
2021-11-05,2613,中櫃,0.75,32.17,110/2,
2021-11-05,2614,東森,2.24,23.45,110/3,
2021-11-05,2615,萬海,1.12,9.13,110/2,
2021-11-05,2616,山隆,6.25,12.31,110/2,
2021-11-05,2617,台航,2.52,22.42,110/2,
2021-11-05,2618,長榮航,0.00,-,110/3,
2021-11-05,2630,亞航,1.54,37.92,110/3,
2021-11-05,2633,台灣高鐵,3.61,30.90,110/3,
2021-11-05,2634,漢翔,0.70,56.27,110/3,
2021-11-05,2636,台驊投控,2.25,6.25,110/3,
2021-11-05,2637,慧洋-KY,2.13,9.45,110/3,
2021-11-05,2642,宅配通,2.45,28.02,110/3,
2021-11-05,2701,萬企,2.05,40.67,110/2,
2021-11-05,2702,華園,0.00,-,110/2,
2021-11-05,2704,國賓,0.00,-,110/2,
2021-11-05,2705,六福,0.00,-,110/2,
2021-11-05,2706,第一店,1.05,68.10,110/2,
2021-11-05,2707,晶華,2.91,23.93,110/2,
2021-11-05,2712,遠雄來,1.84,46.98,110/2,
2021-11-05,2722,夏都,1.58,"1,580.00",110/3,
2021-11-05,2723,美食-KY,3.05,16.97,110/2,
2021-11-05,2727,王品,3.03,-,110/3,
2021-11-05,2731,雄獅,0.00,-,110/2,
2021-11-05,2739,寒舍,0.00,-,110/2,
2021-11-05,2748,雲品,2.33,41.60,110/2,
2021-11-05,2753,八方雲集,4.78,13.24,110/2,
2021-11-05,2801,彰銀,2.77,24.78,110/2,
2021-11-05,2809,京城銀,4.40,5.95,110/3,
2021-11-05,2812,台中銀,5.77,11.17,110/2,
2021-11-05,2816,旺旺保,4.10,6.06,110/2,
2021-11-05,2820,華票,5.18,12.35,110/3,
2021-11-05,2823,中壽,2.77,5.67,110/2,
2021-11-05,2832,台產,5.54,79.40,110/2,
2021-11-05,2834,臺企銀,4.65,14.35,110/2,
2021-11-05,2836,高雄銀,4.25,15.92,110/2,
2021-11-05,2838,聯邦銀,5.32,9.05,110/2,
2021-11-05,2841,台開,0.00,-,110/2,
2021-11-05,2845,遠東銀,4.95,15.44,110/2,
2021-11-05,2849,安泰銀,4.36,13.19,110/3,
2021-11-05,2850,新產,4.16,7.31,110/2,
2021-11-05,2851,中再保,4.60,9.61,110/3,
2021-11-05,2852,第一保,2.61,13.81,110/2,
2021-11-05,2855,統一證,8.37,6.52,110/3,
2021-11-05,2867,三商壽,0.00,8.33,110/2,
